client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment	Question or not	Wh word	Detected Wh Words
8af66e98cabd6cb10a28ca07988435eade78bbf61c24db0dae262c91be1dd8099ea4832fbc31c12787f7e4c7bc84c0e97714af6bb9c32c04f2e5e2022dd4e6c0	common_voice_zh-CN_18539415.mp3	01d74c7ddc6a14c3c00b1a76b29c8a1841b87df6c14448531578bb8baa4ddb6b	给谁我没有意见啊		2.0	0.0					zh-CN		no	yes	谁
d8caf56538f8f23a43348f6a75c1df3cb6b7d2fda809cb48570ab1ba026b94581127e7e5f6ae529facf67ba5c0b1514715f2b249f9daafc1b0f50df4a6d66cc5	common_voice_zh-CN_22236126.mp3	b5aaec8618f8999ac88c83b0baa8dd647d8ac82f1a64b3e777357ceec770b9c4	身上总像背着什么		2.0	1.0					zh-CN		no	yes	什么
679cbc5567790fcc61137374d1132aea2ea8ac68e71e53a7a9bba95023ebfe2bb7d5af325d386219919ca37db766aecb19bbeb7dc5b157ca1e7b89c13fc69b7d	common_voice_zh-CN_22073827.mp3	76df2ffbb46a09ec9b3c6ce05c93f0fa4ab3cd0a154cf2e871fa75eaf6f4fe4f	我还是先回家好了		2.0	0.0					zh-CN		no	yes	还是
7eac67844657ea21f0ce7746958fb3609e188661115d74ed016c6a9feabef7ca95af58fa7bed6941f603fa5fe0a3cd390842123863ce3195cde3ab91461a5226	common_voice_zh-CN_22210989.mp3	a3be1f99c9ca32d2791608ae1548ab50b029ba5f9103d6d0ec3445a325164c54	随后几年内延长至来广营。		2.0	0.0					zh-CN		no	yes	几
b2ebdf244974b02e4304dc1575c0c47c26af69b11f8e0b335ff9459d64972950d1a21f45145b4350fbb66715961f7651f7ad1129398d847e895ba80f2487094f	common_voice_zh-CN_22192853.mp3	aa19feb670f78a18b3d2bc83003123992d4f78e1bc2c994b5574ae07593dd2ad	近几年获奖无数。		2.0	0.0					zh-CN		no	yes	几
ca55234da9e6f69641b9c603db263adb91a1c5aa2997b44a06fd467e401bbd7a3e625a7bd277a4b86ced339e91f5d458fc15a4b4706db324a9f6f49e16702728	common_voice_zh-CN_18995341.mp3	16730ab50f495fc25634779ec48b490468450eb0547ceff5f03c2d5391a9d788	龙鹰如何保住大唐最后的希望？		2.0	0.0					zh-CN		yes	yes	如何
d716d228f557bfb01d9a2bd925cc68a077df28d89b517de446ac2419d8012e378e646faf24d73f6429350726db6db0840b66edc668b18c896e93b98a62a60d9c	common_voice_zh-CN_40975265.mp3	bfba45d06d22c810cf36522a0a0cea673baa8a7edb0e0edd7b79c0e4baba202a	我觉得这样说没什么问题		2.0	0.0	twenties		出生地：37 山东省		zh-CN		no	yes	什么
d8d4669c93963500936a6e44a30e18c356549c19054652e82b702260308e63c63d4a719be418fc187acd209a84b25fa7ae29b96f8cb5e1203dcbddb4b5f41207	common_voice_zh-CN_33452662.mp3	70a9bf5588c16e8a12d200304ea9ec64e67c5fcecdbc34219a828789c72d1a72	没听过什么是光碟吗		2.0	0.0	twenties	female_feminine	出生地：11 北京市		zh-CN		no	yes	什么, 吗
da45fa4a5111c1b0124a4451d36ea4deee7dc5015f9146e3a5f6cd8d3ef9bef5efa1b8a1af43cba9364215f9656c523d61aa7524f08e17122e3330ade0e5c6fb	common_voice_zh-CN_22147393.mp3	963b1935439634d3ab1fec21e17d7e63999b7d1f421a0cd895e8a0f4134f47f9	还是觉得开口太紧了		2.0	0.0					zh-CN		no	yes	还是
0aca0738fb90acbd3a2521e81b0911aad6dfa4d6cda1810cc70b9bc8c082971b9610480319cd6ac90b9f377d618e02f8e548034623febf01d50a17efcc3ae004	common_voice_zh-CN_22151433.mp3	9b73194ef1765c93ebaf17b3f644970292d2966fa96ca2c4d308ad5c36355567	无论如何它被置放于主题之后。		2.0	0.0					zh-CN		no	yes	如何
12344955c540cb610044e7591d28af1c5ed725335576a244f7b87332306123ec7174698dd0e34ddc338658a085deb19032e2b5c13cebd9cb5641c75ed5a37e27	common_voice_zh-CN_39016055.mp3	e143fb158ac271f92ce7b9796af7065464650c7669688302d69d3a87d4dac6b6	中间体的存在能够帮助解释部分化学反应如何进行。		2.0	0.0	twenties	male_masculine	出生地：31 上海市		zh-CN		no	yes	如何
21b9e60b98163504288f397380eca0d3e4ca201122648b10f0140a37cf5cb600d5ee5ff49f45bcab14517ddaf4f44a4b12e63f098f773a71c119da58fa55b030	common_voice_zh-CN_22210397.mp3	aeba9d5e1634a63dff9117b76afb74ba325e43ae169df5c1f7fd9c7bff92644c	救生艇上的人也因此不得不坐在冰冷的水中浸泡几个小时。		2.0	0.0					zh-CN		no	yes	几
21b9e60b98163504288f397380eca0d3e4ca201122648b10f0140a37cf5cb600d5ee5ff49f45bcab14517ddaf4f44a4b12e63f098f773a71c119da58fa55b030	common_voice_zh-CN_22210406.mp3	aaa727202242645e94cf71337316b793e0debbaa07676b01415c720a930a7701	头一句是什么？		2.0	1.0					zh-CN		yes	yes	什么
49312d32acf8c5cfe5a0cc3729271b2646d180a5fa66879d58dd8c1bbfcde20af35617be1d664ab54d7ef1082a4a072615e5a640a23a62f78e3e9f19b10a6709	common_voice_zh-CN_19254420.mp3	29ad654bc9898c4f758b369bf8340386c15c67f236140f082a80ab981001d7da	也没什么事情		2.0	0.0					zh-CN		no	yes	什么
4d8f74acd595a95a9fdb39495e6ec03a4922ec888bf5f000915ebe25316f52b94c723db1c24f894b4e320d8de6ddfcebe83a955175e45d080c896796a5347e3d	common_voice_zh-CN_22177238.mp3	a35f0361749825bc376dca393a0eee4f7b4f762407efc9e7b57c5b2f00d9bc1e	你昨天吃什么？		2.0	0.0					zh-CN		yes	yes	什么
4ebdc999f09fc31ba69bdceb80fbf853ca917c34de9c818981885f4e81f01e47c186abe007e9d96901265438be47ef3160e59123f99cf62148e413b61f73a7c5	common_voice_zh-CN_22233381.mp3	b7397c2cd24350a0c6c59f8926ba2c676eb8e723a7658384b2783c4245f19b04	有人媳妇这样当的吗		2.0	1.0					zh-CN		no	yes	吗
5d9a8273befdef89205ee88800d88fb98f93b206fd8039b178a14c983475d2dca229e70c166cd111da2966775bf4df6383b1a666afbf1fbac50736b142af4a0c	common_voice_zh-CN_18989716.mp3	14bff99edbba5b38f41bcc7d6c0c418a716adb495d508f030de4dd9c9e47fbed	你几点会去报到？		2.0	1.0					zh-CN		yes	yes	几
6d962ea42742f6a23aa8f323677996362688ea0a5b2ae272ac6fe74eee19033ced44fe9d3a3f197a8c105d77dd13b30325d10d99df9254026c15127d7fc12ce6	common_voice_zh-CN_22145126.mp3	97340faba9f31dd0cc0a62ac7522d4bd4bc2bde1d3fe6b9ff073d52dd515afd3	但也还是留下了一些文化积淀与物质遗产。		2.0	1.0					zh-CN		no	yes	还是
7f335fa94eb3c1e39fe8f1eae325106d9d98fae0ca5468d61fc885073704edff16bf153aed441de157e6a79760e6cb6a1fc5a73b8c845a946b628585e20f9c3f	common_voice_zh-CN_22216650.mp3	b21db30d1e21a4b5d6bd10187fbc49aca9f4bbc126cc6a714dc32b6623b13e08	美国司法部对亚利桑那州新移民法是否违宪提出质疑。		3.0	0.0					zh-CN		no	yes	是否
863f7cdf1848a482d3659d720030d89b4fcced6cd8b4fb0dc3a95d9fda1c724434ed3ae3e4d57b45f58b0aa8639f7ea88f9fe577cc78641f7fbd463380087768	common_voice_zh-CN_22104573.mp3	80bfbd1ce83fe78fbac63513949f6066486ba3efa4e9f8a35248d80f2b1f25fd	之后那几个孩子遇见了小女孩的爸爸还有消防员。		2.0	0.0					zh-CN		no	yes	几
87bada971d113c67840a49e296dfc33138e1bca91a80d0946090215553fc0de6ed6d059c267e20329e376eb7d4ba6fa29b65208207e1d6fca75dda5609424b71	common_voice_zh-CN_18981534.mp3	00d56a20986590d33433b9a02e0013b9509d8e2ca17695f588d7a84d3a9eaf01	它们不怎么发声。		2.0	0.0					zh-CN		no	yes	怎么
8985f0e3f51b00c221684aefc0ba9a469d7e3b3ea68d7208081bbc6c71132322338587f75c0e99f8614b299fe5599ecf1036e53f33725d13f4febe34ae217a8d	common_voice_zh-CN_22060966.mp3	6dfc2561452ea0a4257faab9ea70d86355715aecb0bac07b453870b54ee414a4	该集合同胚于什么依赖于背景拓扑空间以及所选取的开集。		2.0	0.0					zh-CN		no	yes	什么
97e7827859d5497638c5a4e51ca2c5569dc84b2783880b797f09be37f3f5090114d3a2a51d1dba6aab00f50361a47ef54301c5698ef2e194db52c5a40a4428d3	common_voice_zh-CN_22162702.mp3	9c541a06ea1353d52eccccd5a613699babb0114773a040cae56c6a69e88936e3	右下角有几个钉子。		2.0	0.0					zh-CN		no	yes	几
