client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment	Question or not	Wh word	Detected Wh Words
29a1c5378774ac5ec7e50b4bde83ed922d2b9ac6e9cd5fc4178908001e992793ed020e5e1c4cb1992b4aa99b713624ef5a630218d0d08fe951d26e2c05d4497c	common_voice_zh-CN_22072741.wav	77074b8cd86af70c943b092830b2d00e684905c7c32ab0b18298e6abcd0c7c50	青帘贳酒今何少？		2.0	1.0					zh-CN		yes	no	
76050dc83064ab866ff0fd5623d5633ed51ba6baa3bc86d26d76ee455caeeb54f275c47d0dd36d226bb9d4752c13fde152cd60422005a029f9967fc6238c2f12	common_voice_zh-CN_22101289.wav	7e405d5072b86955aa85757e65bdec9061a1cbcfac5dfd532feca0119a44652a	维新者何政？		2.0	1.0					zh-CN		yes	no	
ca55234da9e6f69641b9c603db263adb91a1c5aa2997b44a06fd467e401bbd7a3e625a7bd277a4b86ced339e91f5d458fc15a4b4706db324a9f6f49e16702728	common_voice_zh-CN_18995341.wav	16730ab50f495fc25634779ec48b490468450eb0547ceff5f03c2d5391a9d788	龙鹰如何保住大唐最后的希望？		2.0	0.0					zh-CN		yes	yes	如何
21b9e60b98163504288f397380eca0d3e4ca201122648b10f0140a37cf5cb600d5ee5ff49f45bcab14517ddaf4f44a4b12e63f098f773a71c119da58fa55b030	common_voice_zh-CN_22210406.wav	aaa727202242645e94cf71337316b793e0debbaa07676b01415c720a930a7701	头一句是什么？		2.0	1.0					zh-CN		yes	yes	什么
44c673fb72eec8fe58839ef5ca81b5fc5b4e4585506d4007782df7e1c8cefcb1009a4e753f89800085f79fd1f8fdf83b443440fd43e7e3b5d72daa1a3dd3a127	common_voice_zh-CN_22250461.wav	b71cdcdda40b2c2fcfb0565fa48d0988396b852fc4aee9e853ed2311c166cafc	是偷偷混入记者群中的神秘男子？		2.0	0.0					zh-CN		yes	no	
4d8f74acd595a95a9fdb39495e6ec03a4922ec888bf5f000915ebe25316f52b94c723db1c24f894b4e320d8de6ddfcebe83a955175e45d080c896796a5347e3d	common_voice_zh-CN_22177238.wav	a35f0361749825bc376dca393a0eee4f7b4f762407efc9e7b57c5b2f00d9bc1e	你昨天吃什么？		2.0	0.0					zh-CN		yes	yes	什么
54c38c7fddbb5caf5aabce7f75880be3c1bc9e6244ce932b9efcc630de114b9f63dffab410d609ff0db37689084efa9ae4c5fb0f30d32e94614c0efd0755bcf8	common_voice_zh-CN_22151592.wav	97b38a7640c86e69fedb3e26126b7016fa1824f2d6bd05ec2aa800da095dae38	频道头条？		2.0	0.0					zh-CN		yes	no	
5d9a8273befdef89205ee88800d88fb98f93b206fd8039b178a14c983475d2dca229e70c166cd111da2966775bf4df6383b1a666afbf1fbac50736b142af4a0c	common_voice_zh-CN_18989716.wav	14bff99edbba5b38f41bcc7d6c0c418a716adb495d508f030de4dd9c9e47fbed	你几点会去报到？		2.0	1.0					zh-CN		yes	yes	几
b9df9eac18841523eb308210518a777c96eb449e76770dfe44410f5b8edd97ea5537c3739cdaf873e28fa5db2e99f666e450f1ce1c6c72949f3003cd662775a9	common_voice_zh-CN_22057658.wav	68c3f7d5756741510554e1753147524d05ec02a5975dbea1ce9e75a9e14cd725	赵氏孤儿有什么罪？		2.0	0.0					zh-CN		yes	yes	什么
feda1a469e877e99baf57320c904478b034ff02c5a6a6720626902614deac0f803efe95a4ef1cdb8fb4b9f1850b7c7b2477f4f24a782ec225e7aca77f17f0e39	common_voice_zh-CN_22021052.wav	5ea14e624f5f1ae1dc5145d51f4559380dc9c26d866b5c5749760ffa4de7c1aa	谁让你过来了？		2.0	0.0					zh-CN		yes	yes	谁
124514188b5583b1cf19faa3843f609c7ad7e67ac415b6eead2a1e84acd235c14985063cc16c1bf682862230373d772c4f0b4cc3f57977e30d481cbe32ba2c18	common_voice_zh-CN_22215048.wav	adb5e79777445ce8600ce395216dad43fd92a0401a1982ce277bcf5c306c0ebd	考虑到我要怎么存活吗？		2.0	0.0					zh-CN		yes	yes	怎么, 吗
6f28bd3c7f178b06bb448e070d834ffbc986ac9db3036bdf210d03845ddb85b62cfef8e31009ea6745b44ddb309a094bce0ece87462615aa21d02b6cb82eecf2	common_voice_zh-CN_22109877.wav	8a491adff46f965e48f5c2aa5aa6aa686efeb0e160b715dccd4ccf6570c6407b	应该如何看苦难呢？		2.0	1.0					zh-CN		yes	yes	如何
7dcf31b64b6a63acc10d4cc9d56af702c67b21d7d6bd5d6e9ba925fb64bfccc77cd689faa4c756c18f8ee3e00825cf7b5de3b777a5f58131850fd53e7ea0f1d4	common_voice_zh-CN_22214168.wav	b11d17a5bb27a18dc6a930d2efcea162270ccba719f2395dbb195d1165bc35eb	怎么感觉很难喝？		2.0	0.0					zh-CN		yes	yes	怎么
