UtteranceID,SpeakerID,Transcription
14_3466_20170826171511.wav,14_3466,这个衣服我不知道我合适不合适可以帮我投影吗
14_3466_20170826171729.wav,14_3466,我要打给谁
14_3466_20170826171742.wav,14_3466,怎样付款
14_3466_20170826171755.wav,14_3466,本店有什么团购优惠吗
14_3466_20170826171925.wav,14_3466,现在行驶速度合适吗
14_3466_20170826172002.wav,14_3466,我还有多少流量呢
14_3466_20170826172325.wav,14_3466,你都会干什么
14_3466_20170826172657.wav,14_3466,如果要学小提琴小手指必须要长很长吗
14_3466_20170826172725.wav,14_3466,最近都有哪些悲伤歌曲呢
14_3466_20170826172807.wav,14_3466,谁知道这第十三双眼睛的下载地址告诉我一下我很想用它做空间背景音乐
14_3466_20170826173127.wav,14_3466,谁有快速收录的论方便给介绍几个吧
14_3466_20170826173442.wav,14_3466,我这地方下着大雨呢
14_3466_20170826173703.wav,14_3466,我很瘦手指也很瘦是因为上面肉太少压不住弦吗还是练习不到位的原因呢
14_3466_20170826174337.wav,14_3466,有谁知道笑傲江湖是谁唱的吗
14_3466_20170826180535.wav,14_3466,谁有张含韵的一人一梦伴奏版
14_3466_20170826180621.wav,14_3466,谁能告诉我几首歌曲把歌手也说出来最好是张信哲郑原的伤感歌曲
14_3466_20170826180832.wav,14_3466,听说了信宜下大暴雨的事吗
14_3466_20170826180913.wav,14_3466,谁有电子琴简单的乐谱
14_3466_20170826181051.wav,14_3466,班得瑞可以作为胎教音乐吗
14_3466_20170826181325.wav,14_3466,谁有原版该曲发我邮箱重谢
14_3466_20170826181501.wav,14_3466,湛江最近有台风吗
14_3466_20170826181938.wav,14_3466,谁能介绍几首听起来比较霸气的重金属音乐就像德国战车那样的
14_3466_20170826182012.wav,14_3466,是因下雨火车没有正常运行票的钱退我们了为什么保险单不退呢
14_3466_20170826182025.wav,14_3466,明天有大雨票能改天吗
14_3466_20170826182110.wav,14_3466,谁能用我的名字做个让人想歪的迷浴黄冬里
14_3466_20170826182358.wav,14_3466,如何使乐曲演奏的连贯完整
14_3466_20170826182419.wav,14_3466,谁能找出玉银和林俊杰唱的明天我就拜你为师
14_3466_20170826182435.wav,14_3466,谁有这首歌的地址不要怨歌要游戏宣传里面经过处理过的音乐
